# epoch flux flux_err dx dy fwhm fwhmx fwhmy sky airmass
  3143.89117  1.00150  0.00116  0.40626 -1.61199  5.68554  5.68554  5.68554    367.22340  1.55554
  3143.89152  0.99691  0.00116  0.00893 -1.76223  5.70340  5.70340  5.70340    368.74291  1.55457
  3143.89185  0.99584  0.00116  0.25408 -1.76821  5.62890  5.62890  5.62890    369.88652  1.55363
  3143.89218  0.99295  0.00116  0.27336 -1.81569  5.63732  5.63732  5.63732    370.01950  1.55263
  3143.89252  0.99461  0.00115  0.21856 -1.84771  6.08554  6.08554  6.08554    374.32801  1.55167
  3143.89285  0.99782  0.00115  0.03254 -1.29846  5.81180  5.81180  5.81180    379.96986  1.55070
  3143.89318  0.99341  0.00115  0.02550 -1.25338  6.28290  6.28290  6.28290    383.85638  1.54974
  3143.89351  0.99761  0.00113  0.12053 -1.02317  6.30626  6.30626  6.30626    384.47340  1.54878
  3143.89385  0.99754  0.00112  0.23610 -1.30886  6.89584  6.89584  6.89584    383.00532  1.54783
  3143.89418  0.99884  0.00113  0.00666 -1.09024  6.62283  6.62283  6.62283    378.20035  1.54685
  3143.89451  0.99555  0.00117  0.31555 -1.99804  5.57497  5.57497  5.57497    373.39894  1.54589
  3143.89484  0.99601  0.00118  0.27206 -1.93853  5.59479  5.59479  5.59479    373.73759  1.54492
  3143.89518  0.99278  0.00117  0.21552 -2.16266  5.75063  5.75063  5.75063    375.18794  1.54397
  3143.89551  0.99704  0.00117  0.14191 -1.94108  5.64586  5.64586  5.64586    375.35106  1.54303
  3143.89584  0.99422  0.00117  0.07831 -2.15049  5.72006  5.72006  5.72006    377.44858  1.54207
  3143.89617  0.99246  0.00117 -0.04640 -1.90269  5.66757  5.66757  5.66757    380.35993  1.54109
  3143.89650  0.99624  0.00118 -0.04238 -2.09076  5.64957  5.64957  5.64957    379.43617  1.54014
  3143.89684  0.99773  0.00118 -0.02014 -1.48879  5.66215  5.66215  5.66215    381.70390  1.53918
  3143.89717  0.99168  0.00118  0.22888 -2.29842  5.73222  5.73222  5.73222    381.10106  1.53824
  3143.89750  0.99081  0.00117  0.35941 -1.95882  5.53725  5.53725  5.53725    381.73759  1.53730
  3143.89783  0.99257  0.00117  0.31720 -1.66334  5.50689  5.50689  5.50689    381.11879  1.53630
  3143.89816  0.99681  0.00118  0.29239 -1.96567  6.46360  6.46360  6.46360    381.28369  1.53541
  3143.89849  0.99107  0.00117  0.36603 -2.05606  5.61146  5.61146  5.61146    378.19858  1.53448
  3143.89883  0.99600  0.00118  0.15153 -2.04713  5.81827  5.81827  5.81827    378.85461  1.53352
  3143.89916  0.99578  0.00117 -0.00724 -2.25166  5.60787  5.60787  5.60787    380.91135  1.53256
  3143.89949  0.99639  0.00118  0.19462 -2.47484  5.54344  5.54344  5.54344    382.75000  1.53160
  3143.89982  0.99457  0.00118  0.32299 -2.21907  5.76096  5.76096  5.76096    385.01418  1.53068
  3143.90016  0.99611  0.00118  0.53370 -1.92399  6.37492  6.37492  6.37492    387.83511  1.52974
  3143.90049  0.99647  0.00117  0.09830 -1.96706  6.36234  6.36234  6.36234    388.10284  1.52880
  3143.90082  0.99255  0.00117  0.00691 -1.50320  5.55958  5.55958  5.55958    387.26950  1.52787
  3143.90115  0.99493  0.00118  0.23765 -1.64028  5.54117  5.54117  5.54117    384.42908  1.52691
  3143.90149  0.99590  0.00119  0.40578 -2.10798  5.91953  5.91953  5.91953    381.83688  1.52598
  3143.90182  0.99353  0.00117  0.27081 -2.09049  5.50910  5.50910  5.50910    381.83156  1.52506
  3143.90215  0.99161  0.00117  0.06694 -2.03425  5.58711  5.58711  5.58711    385.34929  1.52410
  3143.90248  0.99690  0.00118  0.04098 -1.93749  5.60632  5.60632  5.60632    389.80142  1.52320
  3143.90281  0.99742  0.00117 -0.02860 -2.25645  5.60687  5.60687  5.60687    393.60284  1.52228
  3143.90315  0.99538  0.00118 -0.09270 -1.88505  5.64974  5.64974  5.64974    398.82624  1.52136
  3143.90348  0.99384  0.00118  0.30500 -1.93060  5.59478  5.59478  5.59478    401.90248  1.52043
