# epoch flux flux_err dx dy fwhm fwhmx fwhmy sky airmass
  3119.00922  1.01272  0.00120  2.83072 -2.82692 10.54893 10.54893 10.54893    554.26327  1.42448
  3119.00955  1.00639  0.00127 -0.10555  2.67353  9.63084  9.63084  9.63084    560.77434  1.42373
  3119.00989  1.00788  0.00127  0.00756  2.43946  9.64960  9.64960  9.64960    564.30973  1.42300
  3119.01022  1.00581  0.00127 -0.02855  1.97936  9.60409  9.60409  9.60409    572.74115  1.42223
  3119.01055  1.00828  0.00127  0.54624  1.31446  9.71394  9.71394  9.71394    578.16814  1.42145
  3119.01088  1.00528  0.00126  0.57046  1.25959 10.31088 10.31088 10.31088    578.51991  1.42068
  3119.01121  1.00654  0.00127  0.56049  1.00636  9.65219  9.65219  9.65219    574.55973  1.41992
  3119.01155  1.00612  0.00128 -0.23611  1.75234  9.42152  9.42152  9.42152    579.38496  1.41919
  3119.01188  1.00474  0.00128 -0.39397  1.18833  9.69475  9.69475  9.69475    586.62611  1.41844
  3119.01221  1.00677  0.00128  1.02532  1.36916  8.84142  8.84142  8.84142    597.61283  1.41762
  3119.01254  1.00968  0.00127  0.28301  2.13806  9.77929  9.77929  9.77929    605.28097  1.41690
  3119.01287  1.00510  0.00127  0.22976  1.69223  9.69687  9.69687  9.69687    606.88274  1.41615
  3119.01320  1.00794  0.00127  0.29421  1.89624 10.08368 10.08368 10.08368    593.04425  1.41538
  3119.01353  1.00766  0.00127 -0.03483  1.38989  9.49987  9.49987  9.49987    577.09956  1.41463
  3119.01386  1.00547  0.00129  0.26945  1.45826  8.22291  8.22291  8.22291    572.60177  1.41387
  3119.01419  1.00690  0.00129  0.32047  0.52405  8.78793  8.78793  8.78793    569.80973  1.41316
  3119.01452  1.00469  0.00129  0.04630  1.46031  8.70257  8.70257  8.70257    567.24779  1.41240
  3119.01485  1.00249  0.00128 -0.02093  1.75198  8.79522  8.79522  8.79522    571.11062  1.41166
  3119.01518  1.00679  0.00129  0.13342  0.94911  8.76084  8.76084  8.76084    577.79867  1.41095
  3119.01551  1.00605  0.00130  0.25349  1.10395  7.95980  7.95980  7.95980    580.61947  1.41018
  3119.01584  1.00593  0.00130  0.39450  0.77558  8.66213  8.66213  8.66213    578.06637  1.40941
  3119.01617  1.00141  0.00129  0.46925 -0.28951  8.71696  8.71696  8.71696    572.02434  1.40870
  3119.01650  1.00561  0.00129  0.73001  1.69131  8.45781  8.45781  8.45781    566.75000  1.40793
  3119.01683  1.00494  0.00129  0.34533  0.23435  8.65780  8.65780  8.65780    569.09735  1.40724
  3119.01716  1.00400  0.00128 -0.02164  1.43802  8.50944  8.50944  8.50944    574.29867  1.40648
  3119.01749  1.00640  0.00127  0.11478  1.08113  9.87112  9.87112  9.87112    581.53097  1.40575
  3119.01782  1.00553  0.00128  0.11650  1.38948  9.03332  9.03332  9.03332    583.76991  1.40500
  3119.01815  1.00674  0.00129  0.30946  0.84908  7.30338  7.30338  7.30338    583.72788  1.40428
  3119.01848  1.00612  0.00130 -0.40500  0.60491  7.96079  7.96079  7.96079    580.01991  1.40358
  3119.01881  1.00540  0.00129  1.05914 -0.74378  8.05324  8.05324  8.05324    575.15487  1.40284
  3119.01914  1.00645  0.00129  0.78526  1.60780  8.67166  8.67166  8.67166    570.04646  1.40209
  3119.01947  1.00549  0.00129 -0.61343  1.49948  8.10540  8.10540  8.10540    564.23451  1.40142
  3119.01979  1.00672  0.00128 -0.45129  1.62504  9.52934  9.52934  9.52934    561.41814  1.40066
  3119.02012  1.00197  0.00129  0.13024  1.22550  8.78490  8.78490  8.78490    560.67478  1.39995
  3119.02045  1.00620  0.00128  1.07408  1.70099  8.66828  8.66828  8.66828    561.35841  1.39921
  3119.02078  1.00617  0.00128  0.15851  1.05131  9.21822  9.21822  9.21822    563.33186  1.39854
  3119.02111  1.00734  0.00128 -0.22601  0.79989  9.23518  9.23518  9.23518    560.86283  1.39777
  3119.02144  1.00820  0.00128  0.02392  1.26584  9.23445  9.23445  9.23445    559.03319  1.39708
  3119.02177  1.00652  0.00127  0.51984  1.15564  9.55815  9.55815  9.55815    556.19690  1.39635
  3119.02210  1.00939  0.00127  0.57017  1.11964  9.74468  9.74468  9.74468    558.56195  1.39561
  3119.02243  1.00853  0.00126  0.18892  1.50800  9.63482  9.63482  9.63482    558.55752  1.39490
  3119.02277  1.00857  0.00126  0.04799  1.00008  9.90602  9.90602  9.90602    555.13274  1.39420
  3119.02310  1.00753  0.00125  0.13165  1.19443 10.24163 10.24163 10.24163    552.37168  1.39346
  3119.02343  1.00761  0.00125 -0.07481  1.22005 10.15419 10.15419 10.15419    552.32080  1.39279
  3119.02376  1.00481  0.00125  0.07568  1.45662 10.28276 10.28276 10.28276    552.95354  1.39203
  3119.02409  1.00965  0.00125  0.57970  1.10950 10.35223 10.35223 10.35223    558.70133  1.39133
  3119.02443  1.00803  0.00125  0.90816  1.78957 10.35557 10.35557 10.35557    562.29204  1.39064
  3119.02476  1.00566  0.00126  0.38260  1.17384 10.36791 10.36791 10.36791    559.13053  1.38989
  3119.02509  1.00636  0.00125  0.20285  1.33191 10.04910 10.04910 10.04910    550.82965  1.38923
  3119.02542  1.00899  0.00126  0.35396  1.35888  9.96605  9.96605  9.96605    540.69027  1.38853
  3119.02575  1.00475  0.00124  0.40425  0.62429 10.37731 10.37731 10.37731    528.59292  1.38782
  3119.02608  1.00759  0.00126  0.21783  1.31698  9.37864  9.37864  9.37864    516.61726  1.38708
  3119.02642  1.00463  0.00126  0.38136  0.43377  9.18933  9.18933  9.18933    507.51770  1.38643
  3119.02674  1.00804  0.00125  0.65056  0.96289  9.74037  9.74037  9.74037    504.85177  1.38573
  3119.02708  1.00688  0.00125  0.47164  1.36859  9.98423  9.98423  9.98423    506.57965  1.38501
  3119.02741  1.00691  0.00126  0.61711  1.31398  9.75516  9.75516  9.75516    516.66372  1.38432
  3119.02774  1.00723  0.00124  0.61517  1.24592 10.34201 10.34201 10.34201    536.45133  1.38362
  3119.02807  1.00531  0.00126 -0.16643  1.46342  9.96006  9.96006  9.96006    549.75664  1.38295
  3119.02840  1.00616  0.00127  0.00151  0.92373  9.37972  9.37972  9.37972    561.02655  1.38225
  3119.02874  1.00328  0.00127  0.09084  1.26992  9.70034  9.70034  9.70034    555.07301  1.38157
  3119.02907  1.00662  0.00126  0.81830  1.36585  9.54290  9.54290  9.54290    543.56195  1.38086
  3119.02940  1.00710  0.00126  0.86696  0.99708  9.93502  9.93502  9.93502    529.67699  1.38020
  3119.02973  1.00280  0.00126  0.38134  0.38807  9.14677  9.14677  9.14677    518.50442  1.37952
  3119.03006  1.00422  0.00125  0.35845  0.66166  9.74002  9.74002  9.74002    514.37832  1.37882
  3119.03039  1.00614  0.00127 -0.19006  0.92345  9.33191  9.33191  9.33191    517.80531  1.37815
  3119.03072  1.00576  0.00127 -0.01742  1.39940  8.65673  8.65673  8.65673    530.44469  1.37745
  3119.03105  1.00402  0.00128  0.00979  0.05671  8.76806  8.76806  8.76806    542.92478  1.37681
  3119.03138  1.00531  0.00127  0.21586  1.37812  8.49603  8.49603  8.49603    552.86947  1.37614
  3119.03171  1.00751  0.00127  0.18055  1.46821  8.96598  8.96598  8.96598    548.40708  1.37547
  3119.03204  1.00445  0.00126  0.74280  1.46403  9.71520  9.71520  9.71520    537.67699  1.37474
  3119.03237  1.00988  0.00126  0.93847  1.10372  9.63252  9.63252  9.63252    521.56637  1.37407
  3119.03270  1.00509  0.00125  1.07088  1.05374  9.86235  9.86235  9.86235    511.34735  1.37342
  3119.03303  1.00784  0.00125  0.48520  1.44959  9.80724  9.80724  9.80724    507.56637  1.37273
  3119.03336  1.00571  0.00126  0.24861  1.01327  9.70032  9.70032  9.70032    512.81858  1.37208
  3119.03369  1.00820  0.00127  0.35735  1.11073  9.41123  9.41123  9.41123    523.64823  1.37141
  3119.03402  1.00229  0.00125  0.36935  0.92190 10.01090 10.01090 10.01090    542.61947  1.37077
  3119.03435  1.00296  0.00127  0.46649  1.21756  9.31286  9.31286  9.31286    554.13496  1.37007
  3119.03468  1.00599  0.00128 -0.84464  1.19697  9.52593  9.52593  9.52593    560.23673  1.36948
  3119.03501  1.00584  0.00128  0.37606  0.81432  9.11806  9.11806  9.11806    559.37168  1.36876
  3119.03534  1.00519  0.00128  0.98519  0.50546  9.07694  9.07694  9.07694    555.19469  1.36811
  3119.03567  1.00437  0.00127  0.79237  0.62974  9.45345  9.45345  9.45345    551.98451  1.36745
  3119.03601  1.00578  0.00127  0.45496  1.17319  9.43144  9.43144  9.43144    546.45354  1.36678
  3119.03634  1.00300  0.00128 -0.22557  0.94748  9.05430  9.05430  9.05430    543.24115  1.36615
  3119.03667  1.00401  0.00127 -0.09815  1.13509  9.54226  9.54226  9.54226    539.04204  1.36551
  3119.03700  1.00499  0.00128  0.40592  1.14745  9.39212  9.39212  9.39212    536.54646  1.36483
  3119.03733  1.00371  0.00128  0.96780  1.15685  8.84718  8.84718  8.84718    544.40044  1.36414
  3119.03766  1.00370  0.00128  0.17169  0.84137  8.42955  8.42955  8.42955    552.62389  1.36353
  3119.03799  1.00295  0.00129  0.04294  0.92396  8.58294  8.58294  8.58294    559.03982  1.36288
  3119.03832  1.00505  0.00129 -0.03843  0.81154  8.02244  8.02244  8.02244    560.58186  1.36222
  3119.03865  1.00175  0.00129  0.00187  1.26048  7.90068  7.90068  7.90068    553.66150  1.36158
  3119.03897  1.00413  0.00129 -0.29752  1.26957  7.58705  7.58705  7.58705    556.66150  1.36098
  3119.03930  1.00279  0.00130 -0.10750  0.03866  7.16002  7.16002  7.16002    560.95354  1.36031
  3119.03963  1.00510  0.00130  0.49922  0.69192  9.27883  9.27883  9.27883    568.17478  1.35967
  3119.03996  1.00330  0.00130  0.62183  0.32953  9.34707  9.34707  9.34707    575.66150  1.35902
  3119.04029  1.00165  0.00130  0.63539 -0.80139  8.43648  8.43648  8.43648    574.12832  1.35840
  3119.04062  1.00493  0.00130  0.71536  0.51349  8.33882  8.33882  8.33882    567.42920  1.35775
  3119.04095  1.00374  0.00130  0.33955  0.82172  8.21788  8.21788  8.21788    563.89381  1.35712
  3119.04128  1.00403  0.00130 -0.01705 -0.12895  8.10306  8.10306  8.10306    564.29867  1.35652
  3119.04161  1.00360  0.00130  0.20837  0.24812  8.82854  8.82854  8.82854    572.61062  1.35587
  3119.04194  1.00386  0.00130  0.27226 -0.68553  8.19729  8.19729  8.19729    581.10177  1.35525
  3119.04226  1.00389  0.00130  0.45092  0.98055  8.10525  8.10525  8.10525    579.30310  1.35460
  3119.04259  1.00477  0.00130  0.50471 -0.27152  9.28105  9.28105  9.28105    564.05088  1.35398
  3119.04292  1.00308  0.00130  0.49896  0.77306  8.82382  8.82382  8.82382    551.55310  1.35335
  3119.04325  1.00359  0.00129  0.24795  0.38349  7.87172  7.87172  7.87172    548.40929  1.35273
  3119.04358  1.00728  0.00129  0.20680  0.61274  8.54891  8.54891  8.54891    554.59956  1.35211
