# epoch flux flux_err dx dy fwhm fwhmx fwhmy sky airmass
  3098.35001  1.00020  0.00162 -0.12234 -0.22343  6.72852  6.72852  6.72852   9753.47845  1.24480
  3098.35073  0.99795  0.00161 -0.04525 -0.22231  6.89950  6.89950  6.89950   9642.83752  1.24551
  3098.35291  0.99936  0.00163 -0.03280  0.04134  7.62310  7.62310  7.62310   9877.61091  1.24770
  3098.35363  1.00586  0.00163  0.04840 -0.15929  6.31555  6.31555  6.31555   9867.26126  1.24844
  3098.35436  1.00379  0.00163 -0.02901 -0.00717  7.42162  7.42162  7.42162   9866.32158  1.24919
  3098.35581  0.99755  0.00163 -0.30610  0.20590  7.37822  7.37822  7.37822  10020.66011  1.25069
  3098.35653  1.00422  0.00161 -0.17431  0.28397  6.69105  6.69105  6.69105   9567.93412  1.25146
  3098.35726  0.99947  0.00161  0.07027 -0.13236  6.64646  6.64646  6.64646   9507.22964  1.25223
  3098.35799  0.99854  0.00161  0.22537 -0.24876  5.97683  5.97683  5.97683   9490.20621  1.25302
  3098.35944  1.00201  0.00160  0.12735  0.18875  7.43460  7.43460  7.43460   9436.56885  1.25460
  3098.36016  1.00163  0.00160 -0.53418  0.43993  6.47919  6.47919  6.47919   9425.24587  1.25539
  3098.36089  0.99831  0.00160 -0.54205 -0.20340  7.24013  7.24013  7.24013   9426.87739  1.25618
  3098.36161  0.99793  0.00160 -0.13451 -0.25247  7.08377  7.08377  7.08377   9446.52966  1.25700
  3098.36306  1.00098  0.00161  0.22097  0.47623  7.15568  7.15568  7.15568   9554.17545  1.25863
  3098.36379  0.99990  0.00161 -0.59304  0.32853  7.37214  7.37214  7.37214   9617.57239  1.25946
  3098.36451  1.00093  0.00161 -0.41745  0.22000  6.94284  6.94284  6.94284   9497.96475  1.26029
  3098.36524  1.00116  0.00161 -0.23878 -0.36169  7.29704  7.29704  7.29704   9488.19638  1.26114
  3098.36669  1.00101  0.00160  0.29750  0.24480  6.91619  6.91619  6.91619   9452.81089  1.26283
  3098.36741  0.99939  0.00161 -0.17373  0.51662  6.49562  6.49562  6.49562   9460.95482  1.26369
  3098.36814  1.00037  0.00161 -0.43755  0.30915  6.71794  6.71794  6.71794   9464.76480  1.26456
  3098.36887  1.00207  0.00160 -0.26410 -0.03712  6.91861  6.91861  6.91861   9454.71583  1.26543
  3098.37032  0.99990  0.00160  0.18379 -0.25107  7.22825  7.22825  7.22825   9421.76350  1.26719
  3098.37104  1.00213  0.00160 -0.07263  0.40209  7.64578  7.64578  7.64578   9409.68164  1.26808
  3098.37177  0.99976  0.00160 -0.81631  0.41060  7.45902  7.45902  7.45902   9408.76747  1.26897
  3098.37249  1.00099  0.00160 -0.15096  0.21188  8.81331  8.81331  8.81331   9405.09394  1.26989
  3098.37394  0.99952  0.00160  0.08183 -0.31344  7.76221  7.76221  7.76221   9401.03547  1.27170
  3098.37467  0.99911  0.00160 -0.00042  0.15643  7.77608  7.77608  7.77608   9391.10829  1.27262
  3098.37539  0.99937  0.00160 -0.25835  0.07150  7.57418  7.57418  7.57418   9397.97752  1.27355
  3098.37612  1.00070  0.00160 -0.36037  0.00793  7.10061  7.10061  7.10061   9417.98181  1.27447
  3098.37757  0.99738  0.00161 -0.09403  0.02487  6.26485  6.26485  6.26485   9471.63223  1.27638
  3098.37830  1.00482  0.00160  0.00995  0.08870  6.91278  6.91278  6.91278   9445.03713  1.27732
  3098.37902  1.00357  0.00160  0.10607  0.35359  6.73517  6.73517  6.73517   9454.41302  1.27829
  3098.37975  0.99728  0.00160  0.09817  0.19262  6.60876  6.60876  6.60876   9435.38136  1.27925
  3098.38120  1.00166  0.00160 -0.24580 -0.11392  6.36578  6.36578  6.36578   9400.10193  1.28119
  3098.38192  0.99847  0.00160  0.15343 -0.24262  6.58338  6.58338  6.58338   9396.65967  1.28219
  3098.38265  0.99968  0.00160  0.25964  0.46750  6.83968  6.83968  6.83968   9404.06048  1.28318
  3098.38337  0.99843  0.00160 -0.22797  0.38154  6.82150  6.82150  6.82150   9392.26037  1.28416
  3098.38482  0.99833  0.00160 -0.47603 -0.11380  7.11474  7.11474  7.11474   9382.10287  1.28619
  3098.38555  1.00120  0.00160 -0.23653 -0.21736  7.41683  7.41683  7.41683   9369.95485  1.28719
  3098.38627  1.00054  0.00160  0.16265  0.28451  6.94138  6.94138  6.94138   9367.39060  1.28822
  3098.38700  1.00321  0.00160  0.24737  0.52375  6.94827  6.94827  6.94827   9366.79385  1.28925
  3098.38845  1.00065  0.00160 -0.20558 -0.11893  7.35940  7.35940  7.35940   9357.52731  1.29133
  3098.38918  0.99419  0.00160 -0.13897 -0.05774  7.47034  7.47034  7.47034   9351.81045  1.29237
  3098.38990  1.00391  0.00160 -0.06637 -0.12171  7.54428  7.54428  7.54428   9359.50780  1.29342
  3098.39063  0.99655  0.00160 -0.31224  0.40783  7.42781  7.42781  7.42781   9371.92101  1.29449
  3098.39208  1.00479  0.00160 -0.03691 -0.01990  7.36859  7.36859  7.36859   9372.11283  1.29662
  3098.39280  1.00125  0.00160  0.09536 -0.28724  7.19460  7.19460  7.19460   9355.34840  1.29772
  3098.39353  0.99509  0.00160 -0.38527 -0.00204  7.31590  7.31590  7.31590   9383.04249  1.29881
  3098.39570  1.00270  0.00160  0.09883  0.16918  6.96634  6.96634  6.96634   9403.93154  1.30209
  3098.39643  0.99744  0.00160 -0.25382  0.03776  6.89330  6.89330  6.89330   9401.98477  1.30320
  3098.39715  1.00509  0.00160 -0.20853 -0.19495  7.12701  7.12701  7.12701   9390.95158  1.30432
  3098.39933  0.99732  0.00160  0.13577  0.34114  6.91115  6.91115  6.91115   9376.60531  1.30772
  3098.40006  1.00259  0.00160 -0.33882  0.07452  7.02824  7.02824  7.02824   9395.67183  1.30886
  3098.40223  0.99865  0.00160 -0.03735  0.40221  7.41626  7.41626  7.41626   9348.23768  1.31234
  3098.40296  1.00301  0.00160 -0.00268  0.45266  7.24412  7.24412  7.24412   9336.45333  1.31351
  3098.40368  1.00130  0.00160  0.12188  0.21814  7.06391  7.06391  7.06391   9335.18222  1.31466
  3098.40441  0.99742  0.00160 -0.19699 -0.12187  7.03667  7.03667  7.03667   9338.13294  1.31586
  3098.40586  1.00041  0.00160 -0.22563  0.35804  8.37328  8.37328  8.37328   9371.47008  1.31824
  3098.40658  0.99855  0.00160  0.08665  0.31528  7.01700  7.01700  7.01700   9388.93344  1.31945
  3098.40731  1.00463  0.00160  0.20774  0.23082  6.50914  6.50914  6.50914   9373.49525  1.32065
  3098.40803  1.00120  0.00160 -0.37744 -0.25334  6.72649  6.72649  6.72649   9370.35697  1.32187
  3098.40948  0.99593  0.00160 -0.07782  0.25754  6.54336  6.54336  6.54336   9326.66209  1.32432
  3098.41021  0.99759  0.00160  0.13479  0.55976  6.37914  6.37914  6.37914   9356.40786  1.32555
  3098.41094  1.00421  0.00159  0.15108  0.43289  6.22119  6.22119  6.22119   9300.07206  1.32679
  3098.41166  0.99539  0.00159 -0.30832  0.08370  6.75401  6.75401  6.75401   9289.01695  1.32805
  3098.41311  0.99808  0.00159 -0.27274 -0.10903  6.65492  6.65492  6.65492   9299.00043  1.33056
  3098.41384  0.99756  0.00160 -0.23684  0.42117  6.24839  6.24839  6.24839   9336.16175  1.33183
  3098.41456  1.00128  0.00159  0.12865  0.41097  6.58992  6.58992  6.58992   9275.78617  1.33311
  3098.41529  1.00170  0.00159  0.13893  0.20029  7.14472  7.14472  7.14472   9287.63014  1.33439
  3098.41674  1.00302  0.00161 -0.32517 -0.04935  7.67663  7.67663  7.67663   9736.60993  1.33697
  3098.41746  0.99983  0.00161 -0.42738  0.43858  7.67550  7.67550  7.67550   9616.61521  1.33827
  3098.41819  0.99817  0.00160 -0.42098  0.62746  7.44084  7.44084  7.44084   9476.83911  1.33959
  3098.41891  0.99804  0.00160 -0.39923  0.46438  7.22541  7.22541  7.22541   9472.19683  1.34089
  3098.42036  0.99736  0.00161 -0.04618 -0.01445  7.34340  7.34340  7.34340   9658.69111  1.34353
  3098.42109  1.00211  0.00161  0.02653  0.24625  7.28660  7.28660  7.28660   9555.17303  1.34488
  3098.42182  1.00321  0.00161 -0.35832  0.58440  7.54315  7.54315  7.54315   9600.67535  1.34622
  3098.42254  0.99753  0.00161 -0.50389  0.35818  7.38148  7.38148  7.38148   9632.95511  1.34756
  3098.42399  1.00111  0.00160 -0.31399 -0.14853  7.60767  7.60767  7.60767   9549.43655  1.35027
  3098.42472  0.99782  0.00161 -0.10560 -0.19789  7.64477  7.64477  7.64477   9551.07687  1.35166
  3098.42544  1.00176  0.00160  0.00038  0.57269  7.77682  7.77682  7.77682   9549.15245  1.35301
  3098.42617  1.00274  0.00160 -0.12110  0.37363  7.80235  7.80235  7.80235   9574.04927  1.35440
  3098.42762  0.99716  0.00161 -0.36798 -0.15350  7.78761  7.78761  7.78761   9704.87463  1.35718
  3098.42834  1.00240  0.00161 -0.11229  0.09097  7.49549  7.49549  7.49549   9749.10250  1.35858
  3098.42907  1.00061  0.00161  0.01378  0.37990  7.34590  7.34590  7.34590   9722.11507  1.35996
  3098.42979  0.99990  0.00161 -0.12810  0.70197  7.49826  7.49826  7.49826   9735.95674  1.36140
  3098.43124  0.99808  0.00163 -0.49816 -0.13397  7.56475  7.56475  7.56475   9989.77842  1.36423
  3098.43197  1.00483  0.00162 -0.23478  0.00399  7.63535  7.63535  7.63535   9914.73315  1.36565
  3098.43269  1.00474  0.00161  0.07280 -0.03028  7.56041  7.56041  7.56041   9751.40032  1.36712
  3098.43342  1.00208  0.00161 -0.04266  0.36812  7.52427  7.52427  7.52427   9619.14648  1.36854
  3098.43487  0.99507  0.00162 -0.36483  0.06763  7.60173  7.60173  7.60173   9772.17266  1.37146
  3098.43560  1.00307  0.00162 -0.34209 -0.00764  7.46940  7.46940  7.46940   9917.78539  1.37293
  3098.43632  1.00242  0.00163 -0.29945 -0.09703  7.46885  7.46885  7.46885  10000.24027  1.37441
  3098.43705  1.00000  0.00163 -0.36661  0.25097  7.53248  7.53248  7.53248  10164.77598  1.37588
