# epoch flux flux_err dx dy fwhm fwhmx fwhmy sky airmass
  3119.14849  1.00118  0.00095  0.57513 -0.53669  8.50488  8.50488  8.50488   1192.38666  1.22033
  3119.14921  0.99965  0.00095  0.36170 -0.34968  7.99377  7.99377  7.99377   1196.15547  1.21985
  3119.14994  1.00020  0.00096  0.19967 -0.51453  8.87540  8.87540  8.87540   1225.26559  1.21942
  3119.15066  1.00274  0.00096  0.46953  0.07172  7.32245  7.32245  7.32245   1226.94655  1.21896
  3119.15210  1.00347  0.00096  0.42474  0.14238  7.65679  7.65679  7.65679   1213.05292  1.21809
  3119.15282  1.00181  0.00096  0.47085 -0.50513  8.25246  8.25246  8.25246   1217.57253  1.21767
  3119.15354  0.99748  0.00096  0.29574 -0.21749  7.67623  7.67623  7.67623   1230.19830  1.21725
  3119.15427  1.00123  0.00097  0.44379 -0.06953  7.95008  7.95008  7.95008   1251.28899  1.21684
  3119.15571  1.00059  0.00097  0.25281  0.15608  7.73911  7.73911  7.73911   1249.67614  1.21601
  3119.15643  1.00373  0.00097  0.23002 -0.17032  7.91954  7.91954  7.91954   1254.66977  1.21561
  3119.15715  1.00110  0.00097  0.53193 -0.35953  7.73429  7.73429  7.73429   1265.97230  1.21522
  3119.15788  0.99858  0.00097  0.73637 -0.15185  7.96184  7.96184  7.96184   1253.73833  1.21482
  3119.15932  0.99910  0.00097 -0.33207  0.27468  7.29365  7.29365  7.29365   1244.86313  1.21407
  3119.16004  1.00277  0.00097  0.39297  0.25299  7.47774  7.47774  7.47774   1271.71797  1.21370
  3119.16076  0.99989  0.00098  0.39664 -0.01073  7.77136  7.77136  7.77136   1294.56103  1.21333
  3119.16221  0.99973  0.00098  0.63012  0.23061  8.16889  8.16889  8.16889   1288.27876  1.21263
  3119.16437  1.00138  0.00098  0.16493 -0.53853  8.58266  8.58266  8.58266   1306.32842  1.21161
  3119.16581  1.00261  0.00098  0.48025 -0.20975  8.08365  8.08365  8.08365   1295.89039  1.21095
  3119.16726  1.00101  0.00097  0.54276 -0.15829  8.84604  8.84604  8.84604   1278.04179  1.21032
  3119.16870  1.00131  0.00097  0.04869 -0.32930  8.84620  8.84620  8.84620   1244.32141  1.20970
  3119.16942  1.00261  0.00096  0.62587 -0.46760  8.50957  8.50957  8.50957   1230.38515  1.20941
  3119.17087  1.00084  0.00096  0.57629 -0.46436  8.28105  8.28105  8.28105   1239.89719  1.20884
  3119.17159  0.99829  0.00096  0.92098  0.21506  7.49901  7.49901  7.49901   1225.69550  1.20857
  3119.17231  0.99940  0.00096  0.36824 -0.07500  6.98522  6.98522  6.98522   1209.43726  1.20830
  3119.17303  1.00126  0.00096  0.05483 -0.60871  7.65765  7.65765  7.65765   1213.78117  1.20804
  3119.17448  0.99913  0.00097  0.63233  0.24664  7.29619  7.29619  7.29619   1250.57791  1.20752
  3119.17520  1.00104  0.00098  0.65786 -0.33048  6.98558  6.98558  6.98558   1290.62296  1.20727
  3119.17664  1.00221  0.00097  0.55857 -0.48964  8.13634  8.13634  8.13634   1246.83679  1.20679
  3119.17736  0.99851  0.00096  0.40648 -0.38961  8.62473  8.62473  8.62473   1237.74056  1.20655
  3119.17953  1.00112  0.00097  0.53425 -0.14495  8.27499  8.27499  8.27499   1242.50026  1.20589
  3119.18025  0.99949  0.00095  0.88020 -0.51130  8.29615  8.29615  8.29615   1196.22769  1.20570
  3119.18097  1.00331  0.00095  0.51365 -0.28164  8.43297  8.43297  8.43297   1173.86262  1.20550
  3119.18242  1.00035  0.00096  0.72942 -0.56017  7.43601  7.43601  7.43601   1205.50336  1.20511
  3119.18314  0.99759  0.00096  0.79977 -0.00965  7.88784  7.88784  7.88784   1225.39973  1.20491
  3119.18386  1.00008  0.00096  0.07862 -0.32049  8.05648  8.05648  8.05648   1226.42228  1.20474
  3119.18458  1.00226  0.00096  0.02317 -0.23143  7.64601  7.64601  7.64601   1215.27655  1.20456
  3119.18602  1.00055  0.00096  0.55747 -0.05169  8.64936  8.64936  8.64936   1204.49917  1.20424
  3119.18675  1.00069  0.00096  0.52629 -0.33055  7.71195  7.71195  7.71195   1215.95598  1.20408
  3119.18747  0.99998  0.00096  0.01407 -0.29808  7.49111  7.49111  7.49111   1228.22642  1.20393
  3119.18819  1.00099  0.00097  0.21800 -0.04404  8.67525  8.67525  8.67525   1241.46997  1.20379
  3119.18963  1.00021  0.00096  0.59075  0.14437  8.42858  8.42858  8.42858   1204.14024  1.20352
  3119.19036  1.00190  0.00096  0.44322  0.18856  7.89699  7.89699  7.89699   1223.67731  1.20340
  3119.19108  1.00091  0.00097  0.00000  0.00000  8.77050  8.77050  8.77050   1238.43405  1.20327
  3119.19180  1.00046  0.00097  0.09213 -0.41090  9.37168  9.37168  9.37168   1253.96392  1.20315
  3119.19396  1.00140  0.00096  0.23472 -0.05344  8.16683  8.16683  8.16683   1234.78493  1.20284
  3119.19541  1.00205  0.00097  0.58933 -0.52221  8.78536  8.78536  8.78536   1249.18876  1.20266
  3119.19613  1.00139  0.00096  0.32819 -0.44949  7.67519  7.67519  7.67519   1235.62694  1.20258
  3119.19757  1.00062  0.00097  0.37472  0.78318  5.66819  5.66819  5.66819   1249.70821  1.20244
  3119.19829  1.00046  0.00097  0.33397 -0.04951  6.61404  6.61404  6.61404   1248.44400  1.20238
  3119.19902  1.00453  0.00097  0.31530  0.07018  6.87604  6.87604  6.87604   1251.17082  1.20232
  3119.19974  0.99923  0.00098  0.27451 -0.00400  7.05791  7.05791  7.05791   1268.37249  1.20228
  3119.20118  1.00240  0.00097  0.23038  0.13806  7.25202  7.25202  7.25202   1273.86326  1.20218
  3119.20190  1.00108  0.00098  0.73798  0.27686  6.70436  6.70436  6.70436   1276.83357  1.20215
  3119.20263  1.00124  0.00098  0.54770  0.32982  7.28166  7.28166  7.28166   1280.78309  1.20212
  3119.20335  1.00037  0.00098  0.46909  0.02358  6.58991  6.58991  6.58991   1289.39020  1.20210
  3119.20479  0.99772  0.00098 -0.09069  0.00937  6.73923  6.73923  6.73923   1310.03453  1.20208
  3119.20623  1.00068  0.00098  0.46826  0.30764  6.30444  6.30444  6.30444   1282.63366  1.20206
  3119.20696  0.99958  0.00097  0.48260 -0.29926  6.71582  6.71582  6.71582   1271.35278  1.20207
  3119.20840  0.99862  0.00098  0.29571 -0.53569  7.43023  7.43023  7.43023   1290.55186  1.20210
  3119.20912  1.00097  0.00098  0.60458  0.27445  7.93999  7.93999  7.93999   1293.13892  1.20213
  3119.20984  0.99922  0.00098  0.29784 -0.48979  8.36884  8.36884  8.36884   1292.54178  1.20214
  3119.21057  0.99901  0.00098 -0.12290 -0.37934  8.49683  8.49683  8.49683   1297.30961  1.20217
  3119.21201  1.00181  0.00098  0.28774 -0.05012  8.36425  8.36425  8.36425   1308.46367  1.20227
  3119.21345  1.00273  0.00098  0.35771 -0.16537  8.34580  8.34580  8.34580   1296.01528  1.20237
  3119.21417  0.99829  0.00098  0.04487 -0.35430  8.90701  8.90701  8.90701   1287.37179  1.20244
  3119.21490  1.00098  0.00097  0.21192 -0.82705  9.07060  9.07060  9.07060   1289.58877  1.20250
  3119.21634  1.00281  0.00098  0.22590 -0.95394  9.84673  9.84673  9.84673   1296.09769  1.20265
  3119.21995  1.00004  0.00097  0.29620 -0.28924  7.96464  7.96464  7.96464   1256.18436  1.20314
  3119.22139  1.00337  0.00097  0.08371 -0.20879  8.61362  8.61362  8.61362   1246.60108  1.20338
  3119.22428  0.99964  0.00096  0.55469  0.09213  6.57129  6.57129  6.57129   1236.02225  1.20394
  3119.22500  1.00240  0.00096  0.48053  0.42327  6.47649  6.47649  6.47649   1235.11177  1.20407
  3119.22572  1.00124  0.00096  0.22959  0.15111  6.63512  6.63512  6.63512   1225.36877  1.20423
  3119.22789  1.00183  0.00096  0.48411  0.24534  6.24967  6.24967  6.24967   1243.35674  1.20474
  3119.22861  1.00032  0.00096  0.70659  0.27522  6.16908  6.16908  6.16908   1251.40218  1.20491
  3119.22933  1.00315  0.00097  0.42802  0.33729  6.34736  6.34736  6.34736   1274.31610  1.20509
  3119.23005  0.99873  0.00097  0.27167  0.04034  7.20448  7.20448  7.20448   1267.10301  1.20528
  3119.23150  0.99961  0.00097  0.08821 -0.64644  8.03772  8.03772  8.03772   1285.14058  1.20568
