# time rv_mps erv_mps
1.725634200000204146e+03 -9.652000000000000000e+03 3.700000000000000000e+01
1.734593350000213832e+03 -9.662000000000000000e+03 1.800000000000000000e+01
1.738551320000085980e+03 -9.384000000000000000e+03 2.000000000000000000e+01
1.739535749999806285e+03 -9.439000000000000000e+03 2.400000000000000000e+01
1.740574200000148267e+03 -9.459000000000000000e+03 1.900000000000000000e+01
1.741541350000072271e+03 -9.568000000000000000e+03 2.000000000000000000e+01
1.742552550000138581e+03 -9.624000000000000000e+03 1.500000000000000000e+01
1.743527400000020862e+03 -9.685000000000000000e+03 2.500000000000000000e+01
1.744550820000004023e+03 -9.576000000000000000e+03 3.000000000000000000e+01
1.746591820000205189e+03 -9.443000000000000000e+03 1.800000000000000000e+01
1.747664859999902546e+03 -9.408000000000000000e+03 3.100000000000000000e+01
1.751633539999835193e+03 -9.671000000000000000e+03 2.600000000000000000e+01
1.752630379999987781e+03 -9.612000000000000000e+03 2.100000000000000000e+01
1.753541110000107437e+03 -9.547000000000000000e+03 2.200000000000000000e+01
1.757501329999882728e+03 -9.400000000000000000e+03 3.100000000000000000e+01
1.758526570000220090e+03 -9.539000000000000000e+03 2.600000000000000000e+01
1.761580599999986589e+03 -9.574000000000000000e+03 2.100000000000000000e+01
1.762514200000092387e+03 -9.467000000000000000e+03 2.500000000000000000e+01
1.768574490000028163e+03 -9.626000000000000000e+03 2.100000000000000000e+01
1.772530230000149459e+03 -9.438000000000000000e+03 2.600000000000000000e+01
1.773551020000129938e+03 -9.423000000000000000e+03 2.200000000000000000e+01
