Time from Midtransit, BJD-2454833, Detrended flux
0.091170382, 2952.3705, 0.99999357,
0.094362434, 2958.5408, 0.99996277,
0.091084316, 2959.3785, 1.0000167,
0.087806147, 2960.2162, 0.99996039,
0.093524010, 2960.5022, 1.0000345,
0.090246036, 2961.3399, 1.0000539,
0.095963838, 2961.6259, 1.0000389,
0.092685994, 2962.4636, 0.99998231,
0.089408269, 2963.3013, 0.99998249,
0.095126266, 2963.5874, 1.0000917,
0.091848630, 2964.4251, 0.99995101,
0.088571257, 2965.2628, 1.0001246,
0.094289383, 2965.5488, 0.99993864,
0.091012259, 2966.3865, 1.0000690,
0.087735343, 2967.2242, 0.99999652,
0.093453536, 2967.5102, 0.99992906,
0.090177027, 2968.3479, 1.0000823,
0.095895330, 2968.6340, 1.0000235,
0.092618963, 2969.4717, 0.99992149,
0.089342973, 2970.3093, 0.99995829,
0.095061597, 2970.5954, 1.0000485,
0.091786006, 2971.4331, 1.0000756,
0.088510735, 2972.2708, 1.0000585,
0.094229615, 2972.5568, 1.0000232,
0.090954701, 2973.3945, 1.0000172,
0.093399419, 2974.5183, 1.0000724,
0.090125582, 2975.3560, 0.99998756,
0.095844833, 2975.6420, 1.0000378,
0.092571443, 2976.4797, 1.0000656,
0.089298481, 2977.3174, 0.99990491,
0.095018175, 2977.6034, 0.99996804,
0.091745817, 2978.4411, 0.99999325,
0.088473928, 2979.2788, 0.99993769,
0.094193897, 2979.5649, 1.0000335,
0.090922767, 2980.4026, 0.99997844,
0.087652046, 2981.2403, 0.99997356,
0.093372424, 2981.5263, 0.99999702,
0.090102415, 2982.3640, 0.99998373,
0.095823141, 2982.6501, 1.0000650,
0.099303033, 2911.7317, 0.99997723,
0.10502969, 2912.0178, 1.0000199,
0.10177672, 2912.8555, 0.99996600,
0.098522886, 2913.6932, 1.0000275,
0.10424874, 2913.9792, 0.99998583,
0.10099375, 2914.8170, 0.99995570,
0.10346310, 2915.9407, 1.0000036,
0.10020615, 2916.7784, 1.0000005,
0.096948383, 2917.6161, 1.0000222,
0.10267291, 2917.9022, 0.99999159,
0.099414075, 2918.7399, 0.99997074,
0.10513834, 2919.0260, 1.0000079,
0.10187826, 2919.8637, 0.99998203,
0.098617603, 2920.7014, 1.0000602,
0.10434126, 2920.9874, 1.0000648,
0.10107957, 2921.8251, 1.0000092,
0.097817181, 2922.6628, 1.0000200,
0.10354015, 2922.9489, 1.0000008,
0.10027680, 2923.7866, 0.99992207,
0.097012744, 2924.6243, 1.0000157,
0.10273515, 2924.9103, 0.99998106,
0.099470187, 2925.7480, 1.0000171,
0.10519229, 2926.0341, 1.0000511,
0.10192643, 2926.8718, 0.99999961,
0.098659934, 2927.7095, 1.0000362,
0.10438162, 2927.9955, 1.0000438,
0.10111428, 2928.8332, 1.0000058,
0.097846337, 2929.6710, 1.0000101,
0.10356744, 2929.9570, 1.0000505,
0.10029870, 2930.7947, 0.99999975,
0.097029396, 2931.6324, 1.0000236,
0.10275014, 2931.9184, 1.0000013,
0.099480098, 2932.7561, 0.99997613,
0.10520040, 2933.0422, 0.99996621,
0.10192964, 2933.8799, 0.99996774,
0.098658379, 2934.7176, 1.0000098,
0.10437837, 2935.0036, 0.99995721,
0.10110645, 2935.8413, 1.0000053,
0.097834062, 2936.6790, 0.99998081,
0.10355378, 2936.9651, 0.99996500,
0.10028079, 2937.8028, 0.99997453,
0.097007365, 2938.6405, 1.0000173,
0.10272674, 2938.9265, 1.0000142,
0.099452770, 2939.7642, 1.0000471,
0.10517186, 2940.0502, 1.0000368,
0.10189738, 2940.8879, 1.0000145,
0.098622628, 2941.7256, 1.0000145,
0.10434143, 2942.0117, 0.99998109,
0.10106622, 2942.8494, 0.99999017,
0.097790489, 2943.6871, 1.0000910,
0.10023310, 2944.8108, 1.0000561,
0.096956787, 2945.6485, 0.99999554,
0.10267511, 2945.9345, 0.99995902,
0.099398450, 2946.7722, 0.99995923,
0.10511676, 2947.0583, 1.0000509,
0.10183989, 2947.8960, 0.99999040,
0.098562707, 2948.7337, 0.99997427,
0.10428085, 2949.0197, 0.99997735,
0.10100341, 2949.8574, 0.99998914,
0.097725911, 2950.6951, 0.99998091,
0.10344382, 2950.9811, 1.0000610,
0.10016602, 2951.8188, 0.99999852,
0.10588397, 2952.1049, 1.0000016,
0.096888103, 2952.6565, 0.99999758,
0.10579799, 2959.1129, 0.99994312,
0.096802158, 2959.6645, 0.99997215,
0.10251991, 2959.9506, 1.0000581,
0.099241781, 2960.7882, 0.99996045,
0.10495966, 2961.0743, 0.99996966,
0.10168175, 2961.9120, 1.0000386,
0.098403946, 2962.7497, 0.99990539,
0.10412181, 2963.0357, 0.99999863,
0.10084428, 2963.8734, 0.99997423,
0.10328468, 2964.9971, 0.99997735,
0.10000743, 2965.8348, 0.99999940,
0.10572560, 2966.1209, 0.99991202,
0.096730377, 2966.6725, 0.99993946,
0.10244862, 2966.9586, 1.0000198,
0.099171855, 2967.7963, 0.99999650,
0.10489020, 2968.0823, 0.99999682,
0.10161376, 2968.9200, 0.99999984,
0.10405605, 2970.0437, 0.99993129,
0.10078016, 2970.8814, 1.0000039,
0.097504673, 2971.7191, 0.99999444,
0.10322348, 2972.0052, 1.0000916,
0.099948435, 2972.8429, 0.99994876,
0.10566740, 2973.1289, 0.99995236,
0.096673742, 2973.6806, 1.0000533,
0.10239283, 2973.9666, 0.99999707,
0.099118634, 2974.8043, 0.99999747,
0.10483779, 2975.0903, 1.0000244,
0.10156423, 2975.9280, 0.99995113,
0.098290886, 2976.7657, 1.0000694,
0.10401048, 2977.0518, 0.99992096,
0.10073782, 2977.8895, 0.99997429,
0.097465621, 2978.7272, 1.0000113,
0.10318558, 2979.0132, 0.99997433,
0.099914024, 2979.8509, 0.99999935,
0.10563411, 2980.1370, 1.0000003,
0.096642966, 2980.6886, 1.0000516,
0.10236333, 2980.9747, 0.99996585,
0.099092963, 2981.8124, 1.0000216,
0.10154383, 2982.9361, 1.0000363,
0.098274858, 2983.7738, 1.0000501,
0.11400853, 2911.4661, 1.0000171,
0.11075614, 2912.3038, 0.99999017,
0.10750288, 2913.1415, 1.0000285,
0.11322893, 2913.4276, 0.99998114,
0.10997450, 2914.2653, 0.99998835,
0.10671922, 2915.1030, 0.99996699,
0.11244459, 2915.3891, 0.99999500,
0.10918818, 2916.2268, 0.99996571,
0.11491327, 2916.5128, 0.99996034,
0.10593095, 2917.0645, 1.0000039,
0.11165577, 2917.3505, 1.0000605,
0.10839745, 2918.1882, 1.0000294,
0.11412170, 2918.4743, 1.0000292,
0.11086232, 2919.3120, 1.0000089,
0.10760217, 2920.1497, 0.99995442,
0.11332590, 2920.4358, 1.0000376,
0.11006473, 2921.2735, 1.0000082,
0.10680279, 2922.1112, 0.99997391,
0.11252602, 2922.3972, 1.0000161,
0.10926314, 2923.2349, 0.99999870,
0.11498594, 2923.5210, 1.0000244,
0.10599944, 2924.0726, 0.99998695,
0.11172211, 2924.3587, 1.0000067,
0.10845749, 2925.1964, 0.99999868,
0.11417984, 2925.4824, 1.0000019,
0.11091442, 2926.3201, 0.99997421,
0.10764834, 2927.1578, 0.99996294,
0.11010314, 2928.2816, 0.99993717,
0.10683559, 2929.1193, 1.0000308,
0.11255693, 2929.4053, 0.99994323,
0.10928857, 2930.2430, 1.0000085,
0.11500944, 2930.5291, 1.0000702,
0.10601964, 2931.0807, 0.99996246,
0.11174031, 2931.3668, 1.0000185,
0.10847063, 2932.2045, 1.0000033,
0.11419125, 2932.4905, 0.99999675,
0.11092074, 2933.3282, 1.0000640,
0.10764981, 2934.1659, 1.0000150,
0.11337001, 2934.4520, 0.99997700,
0.11009841, 2935.2897, 0.99999434,
0.10682632, 2936.1274, 0.99999781,
0.11254614, 2936.4134, 1.0000434,
0.10927344, 2937.2511, 1.0000736,
0.11499296, 2937.5372, 1.0000666,
0.10600030, 2938.0888, 1.0000190,
0.11171967, 2938.3749, 0.99994242,
0.10844597, 2939.2125, 1.0000148,
0.11416525, 2939.4986, 1.0000036,
0.11089101, 2940.3363, 1.0000083,
0.10761640, 2941.1740, 0.99999128,
0.11333528, 2941.4600, 1.0000458,
0.11006019, 2942.2977, 1.0000356,
0.10678477, 2943.1354, 1.0000065,
0.11250348, 2943.4215, 1.0000403,
0.10922774, 2944.2592, 1.0000186,
0.10595151, 2945.0968, 1.0000227,
0.11166999, 2945.3829, 1.0000086,
0.10839350, 2946.2206, 1.0000181,
0.11083494, 2947.3443, 1.0000853,
0.10999887, 2949.3057, 0.99996330,
0.10672137, 2950.1434, 0.99997770,
0.10916171, 2951.2672, 0.99999082,
0.11487958, 2951.5532, 1.0000159,
0.11479395, 2958.5612, 1.0000137,
0.11151583, 2959.3989, 1.0000051,
0.10823776, 2960.2366, 1.0000353,
0.11067745, 2961.3603, 0.99999625,
0.10739968, 2962.1980, 1.0000013,
0.10983979, 2963.3218, 1.0000861,
0.10656221, 2964.1595, 0.99999433,
0.11228026, 2964.4455, 1.0000706,
0.10900279, 2965.2832, 0.99999339,
0.11472102, 2965.5692, 1.0000055,
0.10816679, 2967.2446, 1.0000165,
0.11388508, 2967.5307, 1.0000026,
0.10733213, 2969.2060, 0.99994779,
0.11305062, 2969.4921, 0.99990322,
0.10977464, 2970.3298, 1.0000974,
0.10649895, 2971.1675, 0.99998154,
0.11221768, 2971.4535, 0.99990143,
0.10894242, 2972.2912, 1.0000286,
0.11466130, 2972.5773, 1.0000446,
0.11138640, 2973.4149, 0.99993553,
0.11383113, 2974.5387, 0.99997373,
0.11055710, 2975.3764, 1.0000927,
0.11300308, 2976.5001, 1.0000056,
0.10973012, 2977.3378, 0.99996166,
0.10645762, 2978.1755, 0.99999522,
0.11217738, 2978.4616, 1.0000355,
0.10890560, 2979.2993, 0.99995911,
0.11462557, 2979.5853, 1.0000400,
0.11135435, 2980.4230, 1.0000164,
0.10808365, 2981.2607, 1.0000335,
0.11380413, 2981.5467, 1.0000044,
0.11053413, 2982.3844, 1.0000123,
0.10726469, 2983.2221, 0.99995456,
0.11973528, 2911.7521, 1.0000194,
0.11648259, 2912.5899, 1.0000520,
0.12220874, 2912.8759, 0.99998654,
0.11895488, 2913.7136, 0.99997728,
0.11570016, 2914.5513, 1.0000483,
0.12142582, 2914.8374, 0.99998253,
0.12389514, 2915.9612, 0.99992118,
0.12063807, 2916.7989, 0.99997104,
0.11738028, 2917.6366, 1.0000127,
0.12310491, 2917.9226, 0.99999745,
0.11984595, 2918.7603, 1.0000562,
0.11658631, 2919.5980, 0.99995168,
0.12231031, 2919.8841, 0.99993725,
0.11904963, 2920.7218, 1.0000042,
0.11578818, 2921.5595, 1.0000238,
0.12151148, 2921.8456, 1.0000128,
0.11824907, 2922.6833, 1.0000317,
0.12070866, 2923.8070, 1.0000243,
0.11744459, 2924.6447, 0.99994738,
0.11990211, 2925.7685, 1.0000124,
0.11663637, 2926.6062, 0.99998812,
0.11909182, 2927.7299, 1.0000171,
0.11582468, 2928.5676, 0.99998105,
0.11827799, 2929.6914, 0.99994237,
0.12399919, 2929.9774, 0.99995757,
0.11746112, 2931.6528, 1.0000251,
0.12318176, 2931.9389, 0.99995522,
0.11664111, 2933.6143, 0.99998671,
0.12236143, 2933.9003, 0.99995467,
0.11581839, 2935.5757, 1.0000416,
0.12153821, 2935.8618, 1.0000108,
0.12398552, 2936.9855, 1.0000757,
0.12071252, 2937.8232, 1.0000333,
0.12315836, 2938.9469, 1.0000447,
0.11988438, 2939.7846, 1.0000106,
0.12232908, 2940.9084, 0.99998643,
0.11905422, 2941.7461, 0.99997609,
0.12149770, 2942.8698, 0.99996686,
0.11822206, 2943.7075, 0.99998455,
0.12394070, 2943.9935, 0.99995580,
0.12066466, 2944.8312, 0.99993992,
0.11738844, 2945.6689, 1.0000368,
0.12310666, 2945.9550, 1.0000650,
0.11983010, 2946.7927, 0.99998591,
0.11655320, 2947.6304, 1.0000163,
0.12227143, 2947.9164, 1.0000209,
0.11899424, 2948.7541, 0.99999984,
0.11571696, 2949.5918, 1.0000491,
0.12143494, 2949.8778, 1.0000346,
0.11815734, 2950.7155, 1.0000419,
0.12387534, 2951.0016, 0.99996091,
0.12059754, 2951.8393, 1.0000150,
0.11731972, 2952.6769, 1.0000152,
0.12051167, 2958.8473, 1.0001186,
0.11723357, 2959.6849, 1.0000457,
0.12295142, 2959.9710, 0.99997627,
0.11967340, 2960.8087, 0.99993909,
0.11639536, 2961.6464, 0.99998844,
0.12211317, 2961.9324, 1.0000110,
0.11883547, 2962.7701, 0.99991575,
0.12455333, 2963.0561, 0.99995441,
0.11555779, 2963.6078, 1.0000655,
0.12127570, 2963.8938, 1.0000302,
0.11799823, 2964.7315, 0.99999154,
0.12371631, 2965.0176, 0.99997359,
0.12043907, 2965.8553, 0.99998431,
0.11716192, 2966.6930, 1.0000105,
0.12288016, 2966.9790, 1.0000169,
0.11960340, 2967.8167, 1.0000538,
0.11632688, 2968.6544, 1.0000407,
0.12204522, 2968.9404, 1.0000363,
0.11876915, 2969.7781, 0.99995757,
0.12448761, 2970.0642, 1.0000116,
0.11549317, 2970.6158, 0.99998711,
0.12121183, 2970.9019, 1.0000334,
0.11793635, 2971.7396, 0.99998276,
0.12038013, 2972.8633, 1.0000778,
0.11710544, 2973.7010, 1.0000293,
0.12282443, 2973.9870, 1.0000012,
0.11955035, 2974.8247, 1.0000246,
0.11627656, 2975.6624, 0.99994398,
0.12199596, 2975.9485, 0.99998909,
0.11872262, 2976.7862, 1.0000643,
0.12444222, 2977.0722, 1.0000558,
0.11544972, 2977.6239, 1.0000160,
0.12116957, 2977.9099, 1.0000085,
0.11789728, 2978.7476, 0.99999845,
0.12361735, 2979.0336, 1.0000253,
0.12034570, 2979.8713, 0.99996942,
0.11707466, 2980.7090, 1.0000405,
0.12279492, 2980.9951, 0.99994533,
0.11952457, 2981.8328, 1.0000103,
0.11625486, 2982.6705, 1.0000251,
0.12197556, 2982.9565, 1.0000004,
0.11870650, 2983.7942, 0.99998514,
0.12442755, 2984.0803, 0.99996794,
0.12546173, 2912.0382, 1.0000288,
0.13118827, 2912.3242, 0.99999724,
0.13366103, 2913.4480, 1.0000634,
0.12468083, 2913.9997, 0.99997266,
0.13040658, 2914.2857, 0.99994292,
0.13287665, 2915.4095, 0.99992806,
0.12962022, 2916.2472, 0.99996646,
0.13208767, 2917.3710, 1.0000317,
0.12882934, 2918.2087, 0.99999018,
0.13129438, 2919.3324, 0.99999615,
0.12803411, 2920.1701, 0.99996725,
0.13375783, 2920.4562, 1.0000122,
0.13049665, 2921.2939, 0.99996839,
0.12723469, 2922.1316, 1.0000054,
0.13295792, 2922.4177, 0.99997737,
0.12969501, 2923.2554, 1.0000466,
0.12643140, 2924.0931, 0.99995528,
0.13215396, 2924.3791, 1.0000012,
0.12888942, 2925.2168, 0.99988487,
0.12562421, 2926.0545, 0.99999057,
0.13134623, 2926.3406, 1.0000311,
0.12808014, 2927.1783, 0.99999837,
0.13380186, 2927.4643, 0.99998216,
0.12481341, 2928.0160, 0.99998679,
0.13053492, 2928.3020, 0.99994875,
0.12726735, 2929.1397, 0.99997322,
0.13298869, 2929.4258, 0.99999396,
0.12972032, 2930.2635, 0.99993890,
0.12645127, 2931.1012, 0.99999346,
0.13217214, 2931.3872, 0.99989918,
0.12890244, 2932.2249, 0.99999854,
0.12563220, 2933.0626, 1.0000492,
0.13135253, 2933.3487, 0.99998479,
0.12808159, 2934.1864, 0.99996218,
0.13380169, 2934.4724, 0.99998979,
0.12481014, 2935.0241, 1.0000019,
0.13053008, 2935.3101, 0.99996967,
0.12725798, 2936.1478, 1.0000099,
0.13297770, 2936.4338, 0.99997237,
0.12970499, 2937.2715, 0.99994530,
0.12643183, 2938.1092, 0.99992662,
0.13215130, 2938.3953, 0.99998166,
0.12887758, 2939.2330, 1.0000247,
0.12560357, 2940.0707, 0.99994964,
0.13132252, 2940.3567, 0.99989039,
0.12804799, 2941.1944, 1.0000622,
0.13376687, 2941.4805, 1.0000016,
0.12477302, 2942.0321, 0.99999812,
0.13049188, 2942.3182, 0.99994392,
0.12721645, 2943.1558, 0.99990627,
0.13293506, 2943.4419, 0.99995942,
0.12965921, 2944.2796, 1.0000380,
0.12638307, 2945.1173, 1.0000312,
0.13210155, 2945.4033, 0.99997906,
0.12882505, 2946.2410, 1.0000375,
0.12554840, 2947.0787, 0.99998577,
0.13126649, 2947.3647, 1.0000169,
0.12798954, 2948.2024, 0.99991519,
0.12471228, 2949.0401, 0.99998737,
0.12715290, 2950.1639, 0.99995498,
0.13287084, 2950.4499, 1.0000067,
0.12959323, 2951.2876, 0.99999060,
0.12631539, 2952.1253, 0.99996531,
0.13194734, 2959.4193, 0.99996894,
0.12866918, 2960.2570, 1.0000582,
0.12539118, 2961.0947, 0.99995353,
0.13110907, 2961.3808, 0.99999006,
0.12783110, 2962.2185, 1.0000821,
0.13354903, 2962.5045, 0.99996125,
0.12699374, 2964.1799, 0.99988228,
0.13271169, 2964.4659, 0.99992841,
0.12943432, 2965.3036, 0.99992799,
0.12615724, 2966.1413, 1.0000155,
0.13187534, 2966.4274, 1.0000023,
0.12859833, 2967.2650, 1.0000323,
0.12532165, 2968.1027, 0.99995681,
0.13104003, 2968.3888, 1.0000046,
0.12776369, 2969.2265, 1.0000146,
0.13348209, 2969.5125, 1.0000043,
0.13020621, 2970.3502, 1.0000788,
0.12693053, 2971.1879, 1.0000277,
0.13264916, 2971.4739, 1.0000047,
0.12937391, 2972.3116, 0.99990754,
0.12609909, 2973.1493, 1.0000588,
0.13181800, 2973.4354, 0.99997436,
0.12854356, 2974.2731, 0.99997245,
0.12526951, 2975.1108, 1.0000553,
0.13098882, 2975.3968, 0.99994815,
0.12771531, 2976.2345, 1.0000044,
0.13343481, 2976.5206, 0.99995249,
0.13016177, 2977.3583, 0.99996955,
0.12688938, 2978.1960, 0.99989193,
0.13260913, 2978.4820, 0.99995980,
0.12933737, 2979.3197, 0.99995998,
0.12606589, 2980.1574, 1.0000346,
0.13178614, 2980.4434, 1.0000026,
0.12851545, 2981.2811, 0.99999614,
0.12524518, 2982.1188, 1.0000514,
0.13096595, 2982.4049, 1.0000401,
0.12769642, 2983.2426, 0.99999635,
0.13444068, 2911.4865, 0.99999062,
-0.14015602, 2911.7726, 0.99999092,
0.13691462, 2912.6103, 0.99995394,
-0.13768248, 2912.8963, 1.0000139,
0.13938708, 2913.7341, 0.99999328,
0.13613224, 2914.5718, 0.99996902,
-0.13846555, 2914.8578, 0.99994927,
0.13534520, 2916.5332, 1.0000143,
-0.13925325, 2916.8193, 0.99997591,
0.13781238, 2917.6570, 1.0000719,
0.13455378, 2918.4947, 1.0000809,
-0.14004552, 2918.7808, 1.0000364,
0.13701826, 2919.6185, 1.0000199,
-0.13758119, 2919.9045, 0.99998470,
0.13948156, 2920.7422, 0.99997555,
0.13622010, 2921.5799, 1.0000149,
-0.13837996, 2921.8660, 0.99995903,
0.13868106, 2922.7037, 0.99998813,
0.13541781, 2923.5414, 0.99998475,
-0.13918291, 2923.8275, 0.99998040,
0.13787644, 2924.6652, 1.0000657,
0.13461167, 2925.5029, 1.0000125,
-0.13998960, 2925.7889, 1.0000171,
0.13706818, 2926.6266, 0.99994312,
-0.13753330, 2926.9127, 1.0000149,
0.13952361, 2927.7504, 0.99996606,
0.13625646, 2928.5881, 0.99998840,
-0.13834562, 2928.8741, 1.0000914,
0.13870985, 2929.7118, 0.99996771,
0.13544128, 2930.5495, 0.99995647,
-0.13916127, 2930.8356, 1.0000358,
0.13789284, 2931.6733, 0.99988351,
0.13462296, 2932.5110, 1.0000417,
0.13707281, 2933.6347, 0.99996659,
-0.13753032, 2933.9207, 1.0000463,
0.13952183, 2934.7584, 0.99993130,
0.13624995, 2935.5961, 1.0000061,
-0.13835357, 2935.8822, 0.99999067,
0.13869746, 2936.7199, 0.99995820,
0.13542460, 2937.5576, 0.99991447,
-0.13917939, 2937.8436, 1.0000562,
0.13787061, 2938.6813, 1.0000615,
0.13459676, 2939.5190, 1.0000400,
-0.14000745, 2939.8051, 1.0000101,
0.13704162, 2940.6428, 0.99997147,
-0.13756287, 2940.9288, 0.99994275,
0.13948571, 2941.7665, 0.99996005,
-0.13839416, 2942.8902, 0.99996427,
0.13865373, 2943.7279, 0.99994391,
0.13537778, 2944.5656, 0.99995002,
-0.13922722, 2944.8517, 0.99994452,
0.13781990, 2945.6894, 0.99997127,
-0.14006180, 2946.8131, 0.99992011,
0.13698474, 2947.6508, 0.99995675,
0.13942578, 2948.7745, 1.0000144,
0.13614840, 2949.6122, 0.99994145,
-0.13845697, 2949.8983, 0.99992857,
0.13858886, 2950.7360, 1.0000210,
0.13531121, 2951.5736, 1.0000236,
-0.13929428, 2951.8597, 0.99998362,
0.13775124, 2952.6974, 1.0000153,
0.13522556, 2958.5816, 1.0001005,
-0.13938016, 2958.8677, 1.0000670,
0.13766508, 2959.7054, 0.99995990,
0.13438704, 2960.5431, 1.0000324,
0.14010491, 2960.8291, 1.0000258,
0.13682697, 2961.6668, 0.99992570,
-0.13777865, 2961.9528, 0.99994234,
0.13926699, 2962.7905, 0.99996808,
0.13598922, 2963.6282, 0.99992949,
0.13842976, 2964.7520, 0.99999832,
0.13515245, 2965.5897, 1.0000688,
-0.13945294, 2965.8757, 0.99997221,
0.13759356, 2966.7134, 1.0000280,
0.13431673, 2967.5511, 1.0000015,
0.14003495, 2967.8371, 0.99998635,
0.13675834, 2968.6748, 0.99997813,
-0.13784667, 2968.9609, 0.99993516,
0.13920062, 2969.7986, 0.99994136,
0.13592474, 2970.6363, 0.99992636,
-0.13868004, 2970.9223, 1.0000094,
0.13836793, 2971.7600, 0.99992465,
0.13509279, 2972.5977, 0.99997593,
-0.13951182, 2972.8837, 0.99998581,
0.13753704, 2973.7214, 0.99995805,
0.13426274, 2974.5591, 0.99999709,
0.13998186, 2974.8452, 1.0000143,
0.13670808, 2975.6829, 1.0000481,
0.13915426, 2976.8066, 0.99992579,
0.13588147, 2977.6443, 1.0000412,
0.13832905, 2978.7680, 0.99995488,
0.13505735, 2979.6057, 0.99991897,
0.13750645, 2980.7295, 0.99999155,
0.13423593, 2981.5672, 1.0000019,
0.13668668, 2982.6909, 0.99999051,
-0.13791606, 2982.9770, 0.99994627,
-0.13117735, 2911.2209, 1.0000406,
-0.13442948, 2912.0586, 0.99993283,
-0.12870304, 2912.3447, 0.99998439,
-0.13195634, 2913.1824, 1.0000632,
-0.13521052, 2914.0201, 1.0000038,
-0.12948478, 2914.3062, 0.99993337,
-0.13599626, 2915.9816, 1.0000201,
-0.13027109, 2916.2676, 0.99992727,
-0.13352846, 2917.1053, 0.99999037,
-0.12780376, 2917.3914, 1.0000335,
-0.13678654, 2917.9431, 0.99997470,
-0.13106212, 2918.2291, 0.99999728,
-0.13432126, 2919.0668, 0.99998594,
-0.12859710, 2919.3529, 1.0000135,
-0.13185739, 2920.1906, 0.99995612,
-0.13511833, 2921.0283, 0.99997684,
-0.12939478, 2921.3143, 0.99992914,
-0.13265685, 2922.1520, 1.0000588,
-0.13019665, 2923.2758, 1.0000345,
-0.13346028, 2924.1135, 1.0000239,
-0.12773763, 2924.3995, 0.99998797,
-0.13672460, 2924.9512, 0.99996131,
-0.13100218, 2925.2373, 0.99998821,
-0.13426741, 2926.0750, 0.99996835,
-0.12854529, 2926.3610, 0.99997794,
-0.13181140, 2927.1987, 1.0000297,
-0.13507825, 2928.0364, 0.99997691,
-0.13262432, 2929.1602, 0.99993929,
-0.13589250, 2929.9979, 0.99990824,
-0.13017148, 2930.2839, 0.99999599,
-0.13344044, 2931.1216, 1.0000228,
-0.12771958, 2931.4076, 1.0000398,
-0.13670996, 2931.9593, 0.99996106,
-0.13098929, 2932.2454, 1.0000105,
-0.13425954, 2933.0831, 0.99994666,
-0.12853921, 2933.3691, 1.0000040,
-0.13181017, 2934.2068, 0.99993917,
-0.13508163, 2935.0445, 1.0000275,
-0.12936160, 2935.3305, 0.99993145,
-0.13263371, 2936.1682, 0.99998986,
-0.13590627, 2937.0059, 0.99998816,
-0.13018672, 2937.2920, 0.99999969,
-0.13345988, 2938.1297, 1.0000177,
-0.13673346, 2938.9674, 0.99998874,
-0.13101414, 2939.2534, 1.0000151,
-0.13428836, 2940.0911, 1.0000597,
-0.13184385, 2941.2148, 1.0000007,
-0.13511884, 2942.0525, 0.99994440,
-0.12940008, 2942.3386, 1.0000261,
-0.13267552, 2943.1763, 0.99999942,
-0.13595127, 2944.0140, 0.99997979,
-0.13023267, 2944.3000, 1.0000009,
-0.13350871, 2945.1377, 1.0000589,
-0.12779043, 2945.4238, 0.99996889,
-0.13678513, 2945.9754, 0.99997928,
-0.13434349, 2947.0991, 0.99999340,
-0.12862531, 2947.3852, 0.99999817,
-0.13517953, 2949.0606, 0.99996653,
-0.12946151, 2949.3466, 1.0000962,
-0.13601668, 2951.0220, 0.99998780,
-0.13029869, 2951.3080, 0.99997099,
-0.12785850, 2952.4318, 0.99989781,
-0.13366232, 2959.1537, 0.99992544,
-0.13694051, 2959.9914, 1.0000320,
-0.13450075, 2961.1152, 1.0000423,
-0.12878286, 2961.4012, 0.99998932,
