Time from Midtransit, BJD-2454833, Detrended flux
0.093576473, 2911.4457, 1.0000266,
0.090324011, 2912.2834, 1.0000091,
0.096050369, 2912.5694, 1.0000155,
0.092796827, 2913.4071, 1.0000101,
0.089542420, 2914.2449, 1.0000293,
0.095268186, 2914.5309, 0.99997720,
0.092012636, 2915.3686, 0.99999547,
0.088756250, 2916.2063, 1.0000828,
0.094481147, 2916.4924, 0.99997790,
0.091223658, 2917.3301, 1.0000133,
0.087965363, 2918.1678, 1.0000011,
0.093689815, 2918.4539, 0.99994123,
0.096154452, 2919.5776, 1.0000361,
0.092894059, 2920.4153, 0.99999438,
0.089632908, 2921.2530, 1.0000354,
0.095356171, 2921.5391, 0.99995293,
0.092094027, 2922.3768, 0.99999714,
0.094554069, 2923.5005, 0.99996239,
0.091290253, 2924.3383, 1.0000840,
0.093748006, 2925.4620, 0.99998117,
0.090482599, 2926.2997, 0.99998587,
0.096204554, 2926.5858, 1.0000340,
0.087216538, 2927.1374, 1.0000487,
0.092938173, 2927.4235, 0.99998784,
0.095392806, 2928.5472, 0.99998456,
0.092125065, 2929.3849, 0.99995153,
0.088856727, 2930.2226, 0.99993191,
0.094577799, 2930.5087, 0.99996786,
0.091308685, 2931.3464, 1.0000781,
0.088039012, 2932.1841, 0.99999093,
0.093759536, 2932.4701, 0.99997917,
0.090489139, 2933.3078, 0.99998874,
0.096209521, 2933.5938, 1.0000144,
0.087218221, 2934.1455, 1.0000017,
0.092938429, 2934.4315, 1.0000105,
0.089666839, 2935.2692, 1.0000632,
0.095386723, 2935.5553, 0.99997255,
0.092114492, 2936.3930, 0.99998276,
0.088841802, 2937.2307, 0.99996007,
0.094561220, 2937.5167, 0.99995474,
0.091288143, 2938.3544, 0.99997699,
0.088014449, 2939.1921, 1.0000368,
0.093733632, 2939.4782, 1.0000206,
0.090459406, 2940.3159, 1.0001263,
0.096178513, 2940.6019, 1.0000319,
0.092903686, 2941.4396, 0.99999038,
0.089628607, 2942.2773, 0.99997785,
0.095347433, 2942.5633, 1.0000407,
0.092071910, 2943.4010, 1.0000169,
0.088796077, 2944.2387, 1.0000331,
0.094514555, 2944.5248, 1.0000060,
0.091238335, 2945.3625, 0.99998498,
0.087962049, 2946.2002, 0.99994977,
0.093680213, 2946.4862, 1.0000154,
0.090403498, 2947.3239, 0.99997787,
0.096121756, 2947.6099, 0.99995516,
0.092844644, 2948.4476, 1.0000530,
0.089567335, 2949.2853, 1.0000160,
0.095285334, 2949.5714, 0.99999062,
0.092007887, 2950.4090, 0.99997571,
0.088730186, 2951.2467, 0.99999981,
0.094448161, 2951.5328, 0.99999146,
