  2454335.891030        6.500        1.030 0 0 -1
  2454335.897680        6.750        1.090 0 0 -1
  2454336.746470        8.030        0.940 0 0 -1
  2454336.859340        4.300        1.030 0 0 -1
  2454336.947330        0.270        1.000 0 0 -1
  2454337.729220      -12.860        1.140 0 0 -1
  2454337.918740       -9.760        0.960 0 0 -1
  2454338.739920      -14.880        0.920 0 0 -1
  2454338.918190      -12.420        1.010 0 0 -1
  2454339.890660       -5.940        1.030 0 0 -1
  2454343.836570      -18.770        1.100 0 0 -1
  2454344.966230      -15.220        1.070 0 0 -1
  2454396.752330       -1.430        1.120 0 0 -1
  2454397.768210       -1.930        1.130 0 0 -1
  2454427.728150       -2.900        1.260 0 0 -1
  2454428.696400        4.890        1.580 0 0 -1
  2454430.697860       -8.480        1.330 0 0 -1
  2454454.708830      -14.840        1.580 0 0 -1
  2454455.699230      -18.000        1.390 0 0 -1
  2454456.691170      -16.850        1.510 0 0 -1
  2454457.688140       -6.040        1.560 0 0 -1
  2454460.728800      -18.840        1.660 0 0 -1
  2454549.096270       -9.890        1.270 0 0 -1
  2454549.134440       -7.290        1.290 0 0 -1
  2454602.011840       -5.350        1.050 0 0 -1
  2454602.118060       -2.240        1.220 0 0 -1
  2454602.948440        1.430        1.210 0 0 -1
  2454603.007660        2.370        1.140 0 0 -1
  2454603.119350        1.130        1.200 0 0 -1
  2454603.953080        2.880        1.370 0 0 -1
  2454604.032740        0.730        1.370 0 0 -1
  2454604.127480       10.670        1.110 0 0 -1
  2454634.004620       18.920        1.390 0 0 -1
  2454634.955080       15.910        1.270 0 0 -1
  2454636.008750        5.220        1.270 0 0 -1
  2454637.993890        7.090        1.170 0 0 -1
  2454639.028070       16.660        1.130 0 0 -1
  2454640.078460       -4.230        1.420 0 0 -1
  2454641.057270       -5.860        1.260 0 0 -1
  2454674.987500      -10.900        1.360 0 0 -1
  2454722.807470        8.800        1.330 0 0 -1
  2454723.800010       -6.890        1.350 0 0 -1
  2454725.814550       -5.670        1.250 0 0 -1
  2454726.848260       11.300        1.100 0 0 -1
  2454727.770120       11.640        1.100 0 0 -1
  2454727.901450        8.760        1.150 0 0 -1
  2454777.798730       -0.050        1.420 0 0 -1
  2454778.784840        0.590        1.850 0 0 -1
  2454779.804000        6.050        1.540 0 0 -1
  2454790.688620       21.970        1.450 0 0 -1
  2454805.691490       13.620        1.390 0 0 -1
  2454806.706760       -0.490        1.430 0 0 -1
  2454807.705230       -6.520        1.500 0 0 -1
  2454808.750750        1.270        1.320 0 0 -1
  2454809.713030       10.830        2.210 0 0 -1
  2454810.705160       18.490        1.660 0 0 -1
  2454930.104550       -2.170        2.050 0 0 -1
  2454955.038350        4.050        1.190 0 0 -1
