  2454335.891030      0.04539      0.00026 0 0 -1
  2454335.897680      0.04537      0.00026 0 0 -1
  2454336.746470      0.04533      0.00025 0 0 -1
  2454336.859340      0.04531      0.00026 0 0 -1
  2454336.947330      0.04543      0.00027 0 0 -1
  2454337.729220      0.04602      0.00028 0 0 -1
  2454337.918740      0.04556      0.00027 0 0 -1
  2454338.739920      0.04519      0.00025 0 0 -1
  2454338.918190      0.04526      0.00025 0 0 -1
  2454339.890660      0.04528      0.00026 0 0 -1
  2454343.836570      0.04519      0.00027 0 0 -1
  2454344.966230      0.04511      0.00028 0 0 -1
  2454396.752330      0.04517      0.00024 0 0 -1
  2454397.768210      0.04509      0.00024 0 0 -1
  2454427.728150      0.04509      0.00024 0 0 -1
  2454428.696400      0.04489      0.00021 0 0 -1
  2454430.697860      0.04495      0.00023 0 0 -1
  2454454.708830      0.04514      0.00022 0 0 -1
  2454455.699230      0.04503      0.00022 0 0 -1
  2454456.691170      0.04500      0.00023 0 0 -1
  2454457.688140      0.04500      0.00022 0 0 -1
  2454460.728800      0.04524      0.00022 0 0 -1
  2454549.096270      0.04458      0.00025 0 0 -1
  2454549.134440      0.04485      0.00024 0 0 -1
  2454602.011840      0.04486      0.00022 0 0 -1
  2454602.118060      0.04517      0.00024 0 0 -1
  2454602.948440      0.04523      0.00024 0 0 -1
  2454603.007660      0.04523      0.00024 0 0 -1
  2454603.119350      0.04526      0.00025 0 0 -1
  2454603.953080      0.04553      0.00023 0 0 -1
  2454604.032740      0.04509      0.00023 0 0 -1
  2454604.127480      0.04465      0.00023 0 0 -1
  2454634.004620      0.04578      0.00027 0 0 -1
  2454634.955080      0.04497      0.00024 0 0 -1
  2454636.008750      0.04489      0.00024 0 0 -1
  2454637.993890      0.04540      0.00024 0 0 -1
  2454639.028070      0.04520      0.00026 0 0 -1
  2454640.078460      0.04514      0.00025 0 0 -1
  2454641.057270      0.04502      0.00027 0 0 -1
  2454674.987500      0.04533      0.00026 0 0 -1
  2454722.807470      0.04584      0.00026 0 0 -1
  2454723.800010      0.04595      0.00026 0 0 -1
  2454725.814550      0.04543      0.00026 0 0 -1
  2454726.848260      0.04552      0.00026 0 0 -1
  2454727.770120      0.04560      0.00027 0 0 -1
  2454727.901450      0.04566      0.00027 0 0 -1
  2454777.798730      0.04557      0.00022 0 0 -1
  2454778.784840      0.04574      0.00022 0 0 -1
  2454779.804000      0.04553      0.00023 0 0 -1
