Target,ra[rad],dec[rad],ra[h:m:s],dec[d:m:s],ObservationTimeAtGaia[UTC],CcdRow[1-7],zetaFieldAngle[rad],scanAngle[rad],Fov[FovP=preceding/FovF=following],parallaxFactorAlongScan,parallaxFactorAcrossScan,ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2014-09-23T00:16:22.441,4,-0.0006836637508379574,-0.8724072432024066,FOV1,0.713923778122184,0.7168876273506182,2456923.511867986
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2014-09-23T02:02:56.661,2,0.00434957058781241,-0.8741805282119871,FOV2,0.7142985224733818,0.7164389770644783,2456923.5858727763
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2014-10-01T21:37:39.110,1,0.004694467829504982,0.5411227289691998,FOV1,-0.7028189547048244,0.7165077138219914,2456932.401363562
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2014-10-01T23:24:13.336,5,-0.00019279893578472344,0.5389183397218156,FOV2,-0.7020536647559947,0.7171435533998965,2456932.475368538
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2014-11-02T05:07:19.141,7,-0.004285027166168065,-1.5147075555358582,FOV2,0.6534524903006955,0.7101236801673932,2456963.7128268
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2014-12-08T10:43:36.862,4,0.0014267673439363185,-0.716111105475537,FOV2,-0.619185315985983,0.7036461760413478,2456999.946017239
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-02-08T08:26:15.689,3,0.0014387162152380778,-1.7850158977452841,FOV1,-0.6850891397025859,0.7046613657983436,2457061.851720962
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-02-08T10:12:49.889,7,-0.003597840292916641,-1.7872789568459,FOV2,-0.6844329824950459,0.705395862247161,2457061.9257301874
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-03-13T13:55:44.531,1,0.00415232181029628,2.38635821546847,FOV1,0.7064645097363057,0.7063040406001858,2457095.08162958
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-04-07T19:45:42.216,2,0.0021566819453636785,-2.76202121619322,FOV1,-0.6894489067741524,0.7112584339794452,2457120.3254570137
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-04-07T21:32:16.425,6,-0.003203597661165445,-2.76191433040733,FOV2,-0.6903825765351728,0.7102928896024516,2457120.3994661765
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-05-16T12:47:34.040,4,-0.0015327169888660409,1.3574184719882885,FOV1,0.6420361494070612,0.7237030423285062,2457159.035882418
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-05-16T14:34:08.245,3,0.003560838193957279,1.358713614971302,FOV2,0.6401386117966281,0.7253499094715603,2457159.1098902617
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-06-06T06:46:56.062,5,-0.0030173177916854024,2.4448957464184513,FOV1,-0.6431451175128085,0.7204899985551444,2457179.785561618
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-07-16T11:44:01.733,4,-0.00029831437045272524,0.2737361699934276,FOV1,0.6746191592611619,0.7283940250446231,2457219.991461279
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-07-16T13:30:35.937,2,0.004849614859685489,0.27447388053975663,FOV2,0.6732315902859621,0.7297781345744262,2457220.0654667537
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-08-09T05:38:54.904,2,0.00197223661170502,1.4025038730932005,FOV1,-0.7067002283506845,0.7257351663067118,2457243.737315826
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-09-14T10:59:23.522,4,-0.0009638528297353799,-0.7334700158689702,FOV1,0.7189415052172794,0.7209332975205353,2457279.958708597
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-09-14T12:45:57.739,2,0.0041487959996471604,-0.7349005432810978,FOV2,0.7190972035938685,0.7207354387798233,2457280.0327132912
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-10-15T22:41:01.093,6,-0.003850683634146866,0.2962535995635123,FOV1,-0.6845222548876319,0.7143391639190028,2457311.444981605
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-11-15T04:28:18.806,2,0.0016856219915584345,-1.7343882564443065,FOV1,0.638052777293809,0.70805173796757,2457341.685546224
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-11-15T06:14:53.061,1,0.006016123905971367,-1.7377631101043765,FOV2,0.639448225511249,0.706705018599921,2457341.7595528527
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2015-12-21T16:04:15.451,5,-0.002360571243943188,-0.9572891798150576,FOV1,-0.621886490699203,0.7066711727076536,2457378.16875984
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-01-19T21:53:13.975,3,0.0008572308954918132,-2.9727695296715266,FOV1,0.6646891153893287,0.6981787375634805,2457407.4115877915
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-01-19T23:39:48.218,1,0.005494037496543408,-2.975818819997394,FOV2,0.6659626626965749,0.697077609082065,2457407.4855969967
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-02-20T11:19:05.880,6,-0.0019372552254690748,-1.977715608535939,FOV2,-0.6957277335900374,0.7075876757437402,2457438.972139209
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-04-18T16:35:05.776,1,0.006191256480556792,-2.9710013373186452,FOV2,-0.6738844383773183,0.7139018715759858,2457497.193411773
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-04-18T20:48:45.795,7,-0.00642785500413614,-2.969782713614079,FOV1,-0.6768149413267687,0.710954531235292,2457497.3695736676
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-06-17T19:46:34.005,2,0.0032158978435817285,2.2275844458981306,FOV1,-0.643555766454641,0.7233916763338172,2457557.3269446706
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-06-17T21:33:08.210,6,-0.001807020613227265,2.2289466677155234,FOV2,-0.6455023263682999,0.7217070052922628,2457557.4009511853
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-07-27T18:46:47.140,1,0.004555497314993093,0.06223010342854479,FOV1,0.6884524018241598,0.7277585895154753,2457597.2847672435
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-08-21T20:25:42.083,4,0.0007394426416659435,1.1972282872081776,FOV2,-0.7188843726792908,0.7213541745572898,2457622.3527317992
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-09-25T18:05:39.504,7,-0.006313123829917434,-0.9223314984746632,FOV1,0.7069102057961228,0.7217283927238747,2457657.2543338677
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-09-25T19:52:13.688,5,-0.0013260737826230069,-0.924252552254481,FOV2,0.7073694749478178,0.7211815332813009,2457657.328338281
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-10-28T17:45:10.250,2,0.003097288486019587,0.04981537176545008,FOV1,-0.6663610812433026,0.7098234337754539,2457690.2392066284
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-10-28T19:31:44.469,5,-0.0013562103835723983,0.046682941565678024,FOV2,-0.6649929975159251,0.7109792091256766,2457690.3132122196
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-11-27T05:35:36.350,3,7.054236986770465e-07,-1.9620375221241413,FOV1,0.626812180015395,0.7079464993519834,2457719.7321607596
HIP085653,4.582683962195469,0.8273243703834537,17:30:16.428,+47:24:07.901,2016-11-27T07:22:10.586,2,0.004215267189435923,-1.9656002932551369,FOV2,0.6283416473435414,0.7065417982439273,2457719.80616771
